Title-Code,Title Name,Hindi Title,Register Serial No,Regn No.,Owner Name,State,Publication City/District,Periodity
UPHIN50689,JAGRAN GAON DEHAT KHABAR,जागरण गॉव देहात खबर,159106.0,UPHIN/2023/86551,ANJANI KUMAR,UP,SULTANPUR,D
UPHIN02760,DAINIK JAGRAN,,35497.0,35497/ 79,JAGRAN PRAKASHAN LTD,UP,VARANASI,D
UPHIN41035,NARI JAGRAN,नारी जागरण,107375.0,UPHIN/2010/34818,MEENA CHAUBEY,UP,VARANASI,M
UPHIN46713,BHARATIYA JAN JAGRAN KARM PATH,भारतीय जन जागरण कर्म पथ,144148.0,UPHIN/2016/71593,MANOJ KUMAR SRIVASTAVA,UP,VARANASI,M
UTTHIN00213,DAINIK JAGRAN,दैनिक जागरण,81473.0,UTTHIN/2003/08916,JAGRAN PRAKASHAN LTD,UTT,DEHRADUN,D
UTTHIN03359,DEVBHOOMI JAGRAN,देवभूमि जागरण,122913.0,UTTHIN/2013/50358,ARACHNA DIXIT,UTT,DEHRADUN,M
UTTHIN00913,HIMALAYA JAGRAN,हिमालय जागरण,94272.0,UTTHIN/2007/21715,SATENDRA SINGH NEGI,UTT,DEHRADUN,W
UTTHIN05712,JANJAGRAN SAMACHAR,,,,SUMIT KUMAR,UTT,DEHRADUN,W
UTTHIN01631,SURYA JAGRAN,सूर्य जागरण,100323.0,UTTHIN/2009/27766,SURENDRA KUMAR AGARWAL,UTT,DEHRADUN,W
UTTHIN02719,UTTRAKHAND JANJAGRAN,उत्तराखंड जनजागरण,116778.0,UTTHIN/2011/44221,SAROJINI SEMWAL,UTT,DEHRADUN,W
UTTHIN02793,JAGRAN JYOTI,जागरण ज्योति,117694.0,UTTHIN/2012/45137,JYOTI BHATT,UTT,DEHRADUN,W
UTTHIN05350,JAN CHETNA JAGRAN,जन चेतना जागरण,158277.0,UTTHIN/2021/85722,RAMESHWARI SINGH,UTT,DEHRADUN,W
UTTHIN03589,DAINIK JAGRAN,दैनिक जागरण,121420.0,UTTHIN/2012/48865,JAGRAN PRAKASHAN LTD,UTT,HALDWANI,D
UTTHIN05410,SATAT JAGRAN,सतत जागरण,158319.0,UTTHIN/2022/85764,REKHA YADAV,UTT,HARIDWAR,W
WBBEN08039,JAGRAN,जागरण,2774.0,2774/ 57,BENOY KRISHNA DAS CHOWDHURY,WB,COOCHBEHAR,W
