Title-Code,Title Name,Owner Name,State,Publication City/District
NOFHIN00556,JAN JAGRAN TIMES,NOT GIVEN,,
APENG03114,JAGRAN CITY PLUS,JAGRAN PRAKASHAN LTD,AP,HYDERABAD
BIHHIN05227,SAMPURNA JAGRAN,NUTAN VERMA,BIH,BETTIAH
BIHHIN05120,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,BIH,BHAGALPUR
BIHHIN02261,VISHWA JAGRAN,D. R. TYAGI,BIH,GAYA
BIHHIN05109,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,BIH,MUZAFFARPUR
BIHHIN05150,SAMPURNA JAGRAN,NUTAN VERMA,BIH,MUZAFFARPUR
BIHHIN04876,SAMPURNA JAGRAN,NUTAN VERMA,BIH,MUZAFFARPUR
BIHHIN04420,DAINIK JAGRAN,JAGRAN PRAKASHAN LIMITED,BIH,PATNA
CHAHIN00427,KISHAN JAGRAN,"HARYANA AGRO INDUSTRIES CORPORATION, CHANDIGARH",CHA,CHANDIGARH
CHAHIN00377,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,CHA,CHANDIGARH
CHHHIN17414,DEV JAGRAN NEWS,SMT. SOMA SINGH,CHH,DURG
DELHIN01008,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,DEL,DELHI
DELHIN28750,DAINIK JAGRAN RASHTRIYA SANSKARAN,JAGRAN PRAKASHAN LTD,DEL,DELHI
DELPUN00627,JAN JAGRAN,RAVI BHARDWAJ,DEL,DELHI
DELBIL05402,VIDYA JAGRAN,GURPINDER SINGH,DEL,DELHI
DELBIL05833,JANHIT JAGRAN,AJMAT ALI KHAN,DEL,DELHI
DELHIN07073,UTTRAKHAND JAGRAN,SATENDER SINGH RAWAT,DEL,DELHI
DELHIN09860,JAGRAN UDAY,JAGRAN PRAKASHAN LIMITED.,DEL,DELHI
DELGUJ00092,SAHAKAR JAGRAN,NATIONAL COOPERATIVE UNION OF INDIA,DEL,DELHI
DELODI00065,KRISHI JAGRAN,M.C.DOMINIC,DEL,DELHI
DELKAN00054,KRISHI JAGRAN,M.C.DOMINIC,DEL,DELHI
DELTAM00107,SAHAKAR JAGRAN,NATIONAL COOPERATIVE UNION OF INDIA,DEL,DELHI
DELENG19922,SAHAKAR JAGRAN,NATIONAL COOPERATIVE UNION OF INDIA,DEL,DELHI
DELTEL00093,SAHAKAR JAGRAN,NATIONAL COOPERATIVE UNION OF INDIA,DEL,DELHI
DELMAL00135,SAHAKAR JAGRAN,NATIONAL COOPERATIVE UNION OF INDIA,DEL,DELHI
DELPUN00503,M.A.C. KRISHI JAGRAN,M.C.DOMNIK,DEL,DELHI
DELTAM00104,KRISHI JAGRAN,M.C.DOMINIC,DEL,DELHI
DELGUJ00077,KRISHI JAGRAN,M. C. DOMINIC,DEL,DELHI
DELHIN29092,SAHAKAR JAGRAN,NATIONAL COOPERATIVE UNION OF INDIA,DEL,DELHI
DELBEN00173,SAHAKAR JAGRAN,NATIONAL COOPERATIVE UNION OF INDIA,DEL,DELHI
DELHIN10692,JAGRAN SAKHI,JAGRAN PRAKASHAN LIMITED,DEL,DELHI
DELMAR00081,KRISHI JAGRAN,M. C. DOMINIC,DEL,DELHI
DELASS00026,SAHAKAR JAGRAN,NATIONAL COOPERATIVE UNION OF INDIA,DEL,DELHI
DELPUN00650,SAHAKAR JAGRAN,NATIONAL COOPERATIVE UNION OF INDIA,DEL,DELHI
DELBEN00166,KRISHI JAGRAN,M.C.DOMINIC,DEL,DELHI
DELBIL11566,JAT JAGRAN,JOGINDER MANN,DEL,DELHI
DELKAN00059,SAHAKAR JAGRAN,NATIONAL COOPERATIVE UNION OF INDIA,DEL,DELHI
DELHIN08097,M.A.C. KRISHI JAGRAN,M.C.DOMINIC,DEL,DELHI
DELTEL00085,KRISHI JAGRAN,M.C.DOMINIC,DEL,DELHI
DELMAL00132,KRISHI JAGRAN,M.C.DOMINIC,DEL,DELHI
DELHIN06063,BHARAT JAGRAN,MEENA,DEL,DELHI
DELASS00022,KRISHI JAGRAN,M.C.DOMINIC,DEL,DELHI
DELODI00069,SAHAKAR JAGRAN,NATIONAL COOPERATIVE UNION OF INDIA,DEL,DELHI
DELMAR00098,SAHAKAR JAGRAN,NATIONAL COOPERATIVE UNION OF INDIA,DEL,DELHI
DELHIN28867,GURJAR JAGRAN,DHARAM VIR NAGAR,DEL,DELHI
DELBIL06140,UPBHOKTHA JAGRAN,"AAPURTI VIBHAG, MINISTRY OF AGRICULTURE",DEL,DELHI
DELHIN27608,JAGRAN JOSH PLUS,JAGRAN PRAKASHAN LTD,DEL,DELHI
DELHIN07792,JAN JAGRAN AANDOLAN,VIJAY SHARMA,DEL,DELHI
DELENG15571,JAGRAN CITY PLUS,JAGRAN PRAKASHAN LTD,DEL,DELHI
GUJGUJ15098,JAN JAGRAN,GOHIL TAKHUBHA D.,GUJ,BHAVNAGAR
HARHIN11294,KALASH JAGRAN,MANISHA KUMARI,HAR,FARIDABAD
